Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	251.2461111111111	0.0	0.0	0.0
1	251.23611111111111	0.0	0.0	0.0
2	251.2325	0.0	0.0	0.0
3	251.21527777777777	0.0	0.0	0.0
4	251.20027777777779	0.0	0.0	0.0
5	251.18944444444443	0.0	0.0	0.0
6	251.1797222222222	0.0	0.0	0.0
7	251.16972222222222	0.0	0.0	0.0
8	251.17333333333335	0.0	0.0	0.0
9	251.1663888888889	0.0	0.0	0.0
10	251.17944444444444	0.0	0.0	0.0
11	251.16722222222222	0.0	0.0	0.0
12	251.17111111111112	0.0	0.0	0.0
13	251.16305555555556	0.0	0.0	0.0
14	251.15527777777777	0.0	0.0	0.0
15	251.16055555555556	0.0	0.0	0.0
16	251.1525	0.0	0.0	0.0
17	251.1627777777778	0.0	0.0	0.0
18	251.1677777777778	0.0	0.0	0.0
19	251.16694444444445	0.0	0.0	0.0
20	251.15333333333334	0.0	0.0	0.0
