ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2231.9122404891373	2231.9122404891373	
1	2230.6985859378015	2230.6985859378015	
2	2229.939729560331	2229.939729560331	
3	2231.068250724799	2231.068250724799	
4	2230.9955288294072	2230.9955288294072	
5	2229.991158377907	2229.991158377907	
6	2230.66199057463	2230.66199057463	
7	2230.8164645895768	2230.8164645895768	
8	2230.0509752876746	2230.0509752876746	
9	2230.0464665875456	2230.0464665875456	
10	2229.2387703282984	2229.2387703282984	
11	2230.377249885248	2230.377249885248	
12	2230.1903892167934	2230.1903892167934	
13	2230.09189883857	2230.09189883857	
14	2229.9180564434455	2229.9180564434455	
15	2230.736933489719	2230.736933489719	
16	2230.607638736651	2230.607638736651	
17	2229.691667052135	2229.691667052135	
18	2230.1062623126954	2230.1062623126954	
19	2230.9300920014452	2230.9300920014452	
20	2230.60706884237	2230.60706884237	
