Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	19663.694444444445	0.0	0.0	0.0
1	15856.357222222223	0.0	0.0	0.0
2	12954.238333333333	0.0	0.0	0.0
3	10741.582222222221	0.0	0.0	0.0
4	9113.451111111111	0.0	0.0	0.0
5	8019.963333333333	0.0	0.0	0.0
6	7275.004444444445	0.0	0.0	0.0
7	6820.268055555555	0.0	0.0	0.0
8	6640.645277777778	0.0	0.0	0.0
9	6346.412777777778	0.0	0.0	0.0
10	6233.064166666667	0.0	0.0	0.0
11	6121.480555555556	0.0	0.0	0.0
12	5986.199166666666	0.0	0.0	0.0
13	5942.451666666667	0.0	0.0	0.0
14	5905.426944444444	0.0	0.0	0.0
15	5949.975555555556	0.0	0.0	0.0
16	5926.6475	0.0	0.0	0.0
17	5829.766111111111	0.0	0.0	0.0
18	5676.030555555555	0.0	0.0	0.0
19	5613.0625	0.0	0.0	0.0
20	5671.0569444444445	0.0	0.0	0.0
