ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	103.53678053175575	103.53678053175575	103.53678053175575	103.53678053175575
1	111.20594669824813	108.8431522563208	110.03485313643392	111.22655401654733
2	116.7026151905388	112.51796704281837	114.65049075289087	116.71220205525498
3	120.57244323456406	115.13125663738404	117.95422666144329	120.58666591285812
4	123.28395665928915	116.9023426618754	120.28423670109841	123.31610905685923
5	124.98832290242652	118.04106512631195	121.7910581215559	125.03195682229048
6	126.12078951858969	118.78009668701328	122.83166379179093	126.17553825464618
7	126.76676525645969	119.2295931458135	123.49460155639186	126.88083793397705
8	126.96646829877332	119.33724934247006	123.76347123092755	127.17468109514336
9	127.43068789847442	119.5450523227359	124.18464433038707	127.65978305099034
10	127.50614299705713	119.48036967468099	124.32553025157077	127.87379947984978
11	127.68447093669926	119.44856022762563	124.39332623445853	127.91974867460036
12	127.90377120299793	119.4466174479207	124.56403756943043	128.1649937836666
13	127.95407088632788	119.46233677778419	124.64813205948006	128.205707632194
14	128.00317373530805	119.41993289436405	124.70752019462141	128.28285546753906
15	127.8819215790874	119.32854000292441	124.68634080875022	128.22000909832312
16	127.92252867942895	119.31824531667391	124.7303682277913	128.27005214743417
17	128.05283535703973	119.3455374040168	124.82518898951332	128.40976598192105
18	128.32860845269826	119.36575213095553	124.92521338619574	128.53015848013567
19	128.389162890117	119.45043310432739	125.02504849315467	128.61807388940167
20	128.24059325953618	119.44487643534404	125.01480047817643	128.5458626264625
