Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	19175.944722222222	0.0	0.0	0.0
1	15357.523611111112	0.0	0.0	0.0
2	12537.433611111112	0.0	0.0	0.0
3	10349.6075	0.0	0.0	0.0
4	8952.484444444444	0.0	0.0	0.0
5	7932.968055555555	0.0	0.0	0.0
6	7256.723333333333	0.0	0.0	0.0
7	6836.791944444444	0.0	0.0	0.0
8	6528.421111111111	0.0	0.0	0.0
9	6383.888333333333	0.0	0.0	0.0
10	6212.657222222222	0.0	0.0	0.0
11	5996.177222222223	0.0	0.0	0.0
12	5888.885555555556	0.0	0.0	0.0
13	5873.014444444444	0.0	0.0	0.0
14	5873.049722222222	0.0	0.0	0.0
15	5875.205	0.0	0.0	0.0
16	5788.599722222222	0.0	0.0	0.0
17	5751.661666666667	0.0	0.0	0.0
18	5716.155555555555	0.0	0.0	0.0
19	5627.481666666667	0.0	0.0	0.0
20	5737.063055555555	0.0	0.0	0.0
