Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	943.4452777777777	0.0	0.0	0.0
1	814.6952777777777	0.0	0.0	0.0
2	742.6086111111111	0.0	0.0	0.0
3	675.0166666666667	0.0	0.0	0.0
4	629.7466666666667	0.0	0.0	0.0
5	614.7963888888889	0.0	0.0	0.0
6	572.4558333333333	0.0	0.0	0.0
7	575.6269444444445	0.0	0.0	0.0
8	556.8347222222222	0.0	0.0	0.0
9	544.0394444444445	0.0	0.0	0.0
10	537.4966666666667	0.0	0.0	0.0
11	530.6516666666666	0.0	0.0	0.0
12	518.535	0.0	0.0	0.0
13	541.0030555555555	0.0	0.0	0.0
14	524.6266666666667	0.0	0.0	0.0
15	531.7166666666667	0.0	0.0	0.0
16	525.1627777777778	0.0	0.0	0.0
17	530.0630555555556	0.0	0.0	0.0
18	516.7480555555555	0.0	0.0	0.0
19	512.9297222222223	0.0	0.0	0.0
20	529.7425	0.0	0.0	0.0
