ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2023.3333333333333	2023.3333333333333	
1	2023.3333333333333	2023.3333333333333	
2	2023.3333333333333	2023.3333333333333	
3	2023.3333333333333	2023.3333333333333	
4	2023.3333333333333	2023.3333333333333	
5	2023.3333333333333	2023.3333333333333	
6	2023.3333333333333	2023.3333333333333	
7	2023.3333333333333	2023.3333333333333	
8	2023.3333333333333	2023.3333333333333	
9	2023.3333333333333	2023.3333333333333	
10	2023.3333333333333	2023.3333333333333	
11	2023.3333333333333	2023.3333333333333	
12	2023.3333333333333	2023.3333333333333	
13	2023.3333333333333	2023.3333333333333	
14	2023.3333333333333	2023.3333333333333	
15	2023.3333333333333	2023.3333333333333	
16	2023.3333333333333	2023.3333333333333	
17	2023.3333333333333	2023.3333333333333	
18	2023.3333333333333	2023.3333333333333	
19	2023.3333333333333	2023.3333333333333	
20	2023.3333333333333	2023.3333333333333	
