Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	1221.9777777777779	0.0	0.0	0.0
1	1221.9558333333334	0.0	0.0	0.0
2	1221.8927777777778	0.0	0.0	0.0
3	1221.8030555555556	0.0	0.0	0.0
4	1221.7144444444446	0.0	0.0	0.0
5	1221.6902777777777	0.0	0.0	0.0
6	1221.6802777777777	0.0	0.0	0.0
7	1221.645	0.0	0.0	0.0
8	1221.6455555555556	0.0	0.0	0.0
9	1221.6383333333333	0.0	0.0	0.0
10	1221.6116666666667	0.0	0.0	0.0
11	1221.6080555555557	0.0	0.0	0.0
12	1221.5513888888888	0.0	0.0	0.0
13	1221.5775	0.0	0.0	0.0
14	1221.56	0.0	0.0	0.0
15	1221.5491666666667	0.0	0.0	0.0
16	1221.5180555555555	0.0	0.0	0.0
17	1221.53	0.0	0.0	0.0
18	1221.5355555555554	0.0	0.0	0.0
19	1221.5302777777779	0.0	0.0	0.0
20	1221.5175	0.0	0.0	0.0
