Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	626.745	0.0	0.0	0.0
1	626.7133333333334	0.0	0.0	0.0
2	626.6491666666667	0.0	0.0	0.0
3	626.6005555555555	0.0	0.0	0.0
4	626.5927777777778	0.0	0.0	0.0
5	626.5563888888889	0.0	0.0	0.0
6	626.5030555555555	0.0	0.0	0.0
7	626.5105555555556	0.0	0.0	0.0
8	626.4944444444444	0.0	0.0	0.0
9	626.4577777777778	0.0	0.0	0.0
10	626.4597222222222	0.0	0.0	0.0
11	626.4502777777777	0.0	0.0	0.0
12	626.4386111111111	0.0	0.0	0.0
13	626.4180555555556	0.0	0.0	0.0
14	626.4252777777778	0.0	0.0	0.0
15	626.4138888888889	0.0	0.0	0.0
16	626.4005555555556	0.0	0.0	0.0
17	626.3977777777778	0.0	0.0	0.0
18	626.4197222222223	0.0	0.0	0.0
19	626.4716666666667	0.0	0.0	0.0
20	626.3994444444445	0.0	0.0	0.0
