Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:27:59	04:27:59	04:27:59			04:27:59	04:28:00	04:28:00	04:28:00	04:28:00	04:28:00	04:28:00	04:28:10	04:28:10	04:28:10	04:28:10	04:28:10	04:28:10			04:28:13	04:28:13		00:00:00		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:02	00:00:13
1	04:28:14	04:28:14	04:28:14	04:28:14	04:28:14	04:28:14	04:28:14	04:28:15	04:28:15	04:28:15	04:28:15	04:28:15	04:28:23	04:28:23	04:28:23	04:28:23	04:28:23	04:28:23			04:28:24	04:28:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:10
2	04:28:24	04:28:24	04:28:24	04:28:24	04:28:25	04:28:25			04:28:25	04:28:25	04:28:25	04:28:25	04:28:35	04:28:35	04:28:35	04:28:35	04:28:35	04:28:35			04:28:37	04:28:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
3	04:28:37	04:28:37	04:28:37	04:28:37	04:28:37	04:28:37			04:28:37	04:28:37	04:28:37	04:28:37	04:28:44	04:28:44	04:28:44	04:28:44	04:28:44	04:28:44			04:28:44	04:28:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
4	04:28:44	04:28:44	04:28:44	04:28:44	04:28:44	04:28:44			04:28:44	04:28:44	04:28:45	04:28:45	04:28:52	04:28:52	04:28:52	04:28:52	04:28:52	04:28:52			04:28:53	04:28:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
5	04:28:53	04:28:53	04:28:53	04:28:53	04:28:53	04:28:53			04:28:53	04:28:53	04:28:53	04:28:53	04:29:00	04:29:00	04:29:01	04:29:01	04:29:01	04:29:01			04:29:02	04:29:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
6	04:29:02	04:29:02	04:29:02	04:29:02	04:29:02	04:29:02			04:29:02	04:29:02	04:29:02	04:29:02	04:29:09	04:29:09	04:29:09	04:29:09	04:29:09	04:29:09			04:29:09	04:29:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
7	04:29:10	04:29:10	04:29:10	04:29:10	04:29:10	04:29:10			04:29:10	04:29:10	04:29:10	04:29:10	04:29:17	04:29:17	04:29:17	04:29:17	04:29:17	04:29:17			04:29:18	04:29:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
8	04:29:18	04:29:18	04:29:18	04:29:18	04:29:18	04:29:18			04:29:18	04:29:18	04:29:18	04:29:18	04:29:25	04:29:25	04:29:25	04:29:25	04:29:25	04:29:25			04:29:26	04:29:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
9	04:29:26	04:29:26	04:29:26	04:29:26	04:29:26	04:29:26			04:29:26	04:29:26	04:29:26	04:29:26	04:29:33	04:29:33	04:29:33	04:29:33	04:29:33	04:29:33			04:29:33	04:29:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
10	04:29:33	04:29:33	04:29:33	04:29:33	04:29:33	04:29:33	04:29:33	04:29:34	04:29:34	04:29:34	04:29:34	04:29:34	04:29:41	04:29:41	04:29:41	04:29:41	04:29:41	04:29:41	04:29:41	04:29:41	04:29:41	04:29:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07
11	04:29:41	04:29:41	04:29:41	04:29:41	04:29:41	04:29:41			04:29:42	04:29:42	04:29:42	04:29:42	04:29:48	04:29:48	04:29:48	04:29:48	04:29:48	04:29:48			04:29:48	04:29:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
12	04:29:48	04:29:48	04:29:48	04:29:48	04:29:48	04:29:48			04:29:49	04:29:49	04:29:49	04:29:49	04:29:55	04:29:55	04:29:55	04:29:55	04:29:55	04:29:55			04:29:56	04:29:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
13	04:29:56	04:29:56	04:29:56	04:29:56	04:29:56	04:29:56			04:29:56	04:29:56	04:29:56	04:29:56	04:30:02	04:30:02	04:30:03	04:30:03	04:30:03	04:30:03			04:30:03	04:30:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
14	04:30:03	04:30:03	04:30:03	04:30:03	04:30:03	04:30:03			04:30:03	04:30:03	04:30:04	04:30:04	04:30:10	04:30:10	04:30:10	04:30:10	04:30:10	04:30:10			04:30:11	04:30:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
15	04:30:11	04:30:11	04:30:11	04:30:11	04:30:11	04:30:11			04:30:11	04:30:11	04:30:11	04:30:11	04:30:18	04:30:18	04:30:18	04:30:18	04:30:18	04:30:18			04:30:18	04:30:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
16	04:30:18	04:30:18	04:30:18	04:30:18	04:30:18	04:30:18			04:30:18	04:30:18	04:30:18	04:30:18	04:30:26	04:30:26	04:30:26	04:30:26	04:30:26	04:30:26			04:30:27	04:30:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:08
17	04:30:27	04:30:27	04:30:27	04:30:27	04:30:27	04:30:27			04:30:27	04:30:27	04:30:27	04:30:27	04:30:34	04:30:34	04:30:34	04:30:34	04:30:34	04:30:34			04:30:35	04:30:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
18	04:30:35	04:30:35	04:30:35	04:30:35	04:30:35	04:30:35			04:30:35	04:30:35	04:30:35	04:30:35	04:30:43	04:30:43	04:30:43	04:30:43	04:30:43	04:30:43			04:30:44	04:30:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:08
19	04:30:44	04:30:44	04:30:44	04:30:44	04:30:44	04:30:44			04:30:44	04:30:44	04:30:44	04:30:44	04:30:52	04:30:52	04:30:52	04:30:52	04:30:52	04:30:52			04:30:53	04:30:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
20	04:30:53	04:30:53	04:30:53	04:30:53	04:30:53	04:30:53	04:30:53	04:30:53	04:30:53	04:30:53	04:30:53	04:30:53	04:31:01	04:31:01	04:31:01	04:31:01	04:31:01	04:31:01	04:31:01	04:31:01	04:31:03	04:31:03		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:01	00:00:09
