Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	1245.868888888889	0.0	0.0	0.0
1	1245.81	0.0	0.0	0.0
2	1245.703611111111	0.0	0.0	0.0
3	1245.6355555555556	0.0	0.0	0.0
4	1245.6236111111111	0.0	0.0	0.0
5	1245.575	0.0	0.0	0.0
6	1245.5102777777777	0.0	0.0	0.0
7	1245.5233333333333	0.0	0.0	0.0
8	1245.5005555555556	0.0	0.0	0.0
9	1245.4469444444444	0.0	0.0	0.0
10	1245.4786111111111	0.0	0.0	0.0
11	1245.4230555555555	0.0	0.0	0.0
12	1245.4116666666666	0.0	0.0	0.0
13	1245.3330555555556	0.0	0.0	0.0
14	1245.381388888889	0.0	0.0	0.0
15	1245.3744444444444	0.0	0.0	0.0
16	1245.365	0.0	0.0	0.0
17	1245.3755555555556	0.0	0.0	0.0
18	1245.3166666666666	0.0	0.0	0.0
19	1245.2808333333332	0.0	0.0	0.0
20	1245.3830555555555	0.0	0.0	0.0
