Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	1232.763888888889	0.0	0.0	0.0
1	1232.6883333333333	0.0	0.0	0.0
2	1232.6380555555556	0.0	0.0	0.0
3	1232.5544444444445	0.0	0.0	0.0
4	1232.5611111111111	0.0	0.0	0.0
5	1232.5113888888889	0.0	0.0	0.0
6	1232.4925	0.0	0.0	0.0
7	1232.4952777777778	0.0	0.0	0.0
8	1232.4922222222222	0.0	0.0	0.0
9	1232.4955555555555	0.0	0.0	0.0
10	1232.4272222222223	0.0	0.0	0.0
11	1232.3938888888888	0.0	0.0	0.0
12	1232.4291666666666	0.0	0.0	0.0
13	1232.4502777777777	0.0	0.0	0.0
14	1232.391111111111	0.0	0.0	0.0
15	1232.4141666666667	0.0	0.0	0.0
16	1232.3736111111111	0.0	0.0	0.0
17	1232.3669444444445	0.0	0.0	0.0
18	1232.405	0.0	0.0	0.0
19	1232.3852777777777	0.0	0.0	0.0
20	1232.4008333333334	0.0	0.0	0.0
