Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	127.9636111111111	0.0	0.0	0.0
1	127.95305555555555	0.0	0.0	0.0
2	127.95972222222223	0.0	0.0	0.0
3	127.93916666666667	0.0	0.0	0.0
4	127.92472222222223	0.0	0.0	0.0
5	127.91194444444444	0.0	0.0	0.0
6	127.90611111111112	0.0	0.0	0.0
7	127.89833333333333	0.0	0.0	0.0
8	127.89277777777778	0.0	0.0	0.0
9	127.90583333333333	0.0	0.0	0.0
10	127.89111111111112	0.0	0.0	0.0
11	127.88527777777777	0.0	0.0	0.0
12	127.88777777777777	0.0	0.0	0.0
13	127.87444444444445	0.0	0.0	0.0
14	127.87472222222222	0.0	0.0	0.0
15	127.87416666666667	0.0	0.0	0.0
16	127.87666666666667	0.0	0.0	0.0
17	127.88333333333334	0.0	0.0	0.0
18	127.86833333333334	0.0	0.0	0.0
19	127.87861111111111	0.0	0.0	0.0
20	127.89333333333333	0.0	0.0	0.0
