Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	03:48:34	03:48:34	03:48:34			03:48:34	03:48:34	03:48:34	03:48:34	03:48:34	03:48:35	03:48:35	03:48:48	03:48:48	03:48:48	03:48:48	03:48:48	03:48:48			03:48:51	03:48:51		00:00:00		00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:02	00:00:16
1	03:48:51	03:48:51	03:48:51	03:48:51	03:48:52	03:48:52	03:48:52	03:48:52	03:48:52	03:48:52	03:48:52	03:48:52	03:49:01	03:49:01	03:49:01	03:49:01	03:49:01	03:49:01			03:49:03	03:49:03		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:11
2	03:49:03	03:49:03	03:49:03	03:49:03	03:49:03	03:49:03			03:49:03	03:49:03	03:49:03	03:49:03	03:49:11	03:49:11	03:49:11	03:49:11	03:49:11	03:49:11			03:49:12	03:49:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:09
3	03:49:13	03:49:13	03:49:13	03:49:13	03:49:13	03:49:13			03:49:13	03:49:13	03:49:13	03:49:13	03:49:23	03:49:23	03:49:23	03:49:23	03:49:23	03:49:23			03:49:24	03:49:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:10
4	03:49:24	03:49:24	03:49:24	03:49:24	03:49:24	03:49:24			03:49:24	03:49:24	03:49:24	03:49:24	03:49:33	03:49:33	03:49:33	03:49:33	03:49:33	03:49:33			03:49:33	03:49:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
5	03:49:33	03:49:33	03:49:33	03:49:33	03:49:33	03:49:33			03:49:33	03:49:33	03:49:33	03:49:33	03:49:40	03:49:40	03:49:40	03:49:40	03:49:40	03:49:40			03:49:41	03:49:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
6	03:49:41	03:49:41	03:49:41	03:49:41	03:49:41	03:49:41			03:49:41	03:49:41	03:49:41	03:49:41	03:49:49	03:49:49	03:49:49	03:49:49	03:49:49	03:49:49			03:49:50	03:49:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
7	03:49:50	03:49:50	03:49:50	03:49:50	03:49:50	03:49:50			03:49:50	03:49:50	03:49:50	03:49:50	03:49:58	03:49:58	03:49:58	03:49:58	03:49:58	03:49:58			03:49:59	03:49:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
8	03:49:59	03:49:59	03:49:59	03:49:59	03:49:59	03:49:59			03:49:59	03:49:59	03:49:59	03:49:59	03:50:06	03:50:06	03:50:06	03:50:06	03:50:06	03:50:06			03:50:07	03:50:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
9	03:50:07	03:50:07	03:50:07	03:50:07	03:50:07	03:50:07			03:50:07	03:50:07	03:50:07	03:50:07	03:50:14	03:50:14	03:50:14	03:50:14	03:50:14	03:50:14			03:50:15	03:50:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
