Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:48:51	04:48:51	04:48:51			04:48:51	04:48:51	04:48:53	04:48:53	04:48:53	04:48:55	04:48:55	04:49:14	04:49:14	04:49:15	04:49:15	04:49:15	04:49:15			04:49:17	04:49:17		00:00:00		00:00:01	00:00:02	00:00:01	00:00:19	00:00:00	00:00:00		00:00:02	00:00:26
1	04:49:19	04:49:19	04:49:20	04:49:20	04:49:21	04:49:21	04:49:21	04:49:24	04:49:24	04:49:24	04:49:24	04:49:24	04:49:34	04:49:34	04:49:34	04:49:34	04:49:35	04:49:35			04:49:36	04:49:36		00:00:01	00:00:01	00:00:02	00:00:02	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:17
2	04:49:36	04:49:36	04:49:36	04:49:36	04:49:36	04:49:36			04:49:36	04:49:36	04:49:36	04:49:36	04:49:48	04:49:48	04:49:48	04:49:48	04:49:49	04:49:49			04:49:50	04:49:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
3	04:49:50	04:49:50	04:49:51	04:49:51	04:49:51	04:49:51			04:49:51	04:49:51	04:49:51	04:49:51	04:50:00	04:50:00	04:50:00	04:50:00	04:50:00	04:50:00			04:50:01	04:50:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
4	04:50:01	04:50:01	04:50:01	04:50:01	04:50:02	04:50:02			04:50:02	04:50:02	04:50:02	04:50:02	04:50:11	04:50:11	04:50:11	04:50:11	04:50:11	04:50:11			04:50:12	04:50:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
5	04:50:12	04:50:12	04:50:12	04:50:12	04:50:13	04:50:13			04:50:13	04:50:13	04:50:13	04:50:13	04:50:22	04:50:22	04:50:22	04:50:22	04:50:22	04:50:22			04:50:23	04:50:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
6	04:50:23	04:50:23	04:50:23	04:50:23	04:50:23	04:50:23			04:50:23	04:50:23	04:50:23	04:50:23	04:50:33	04:50:33	04:50:33	04:50:33	04:50:33	04:50:33			04:50:34	04:50:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:10
7	04:50:34	04:50:34	04:50:34	04:50:34	04:50:34	04:50:34			04:50:34	04:50:34	04:50:34	04:50:34	04:50:44	04:50:44	04:50:44	04:50:44	04:50:44	04:50:44			04:50:45	04:50:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
8	04:50:45	04:50:45	04:50:45	04:50:45	04:50:45	04:50:45			04:50:45	04:50:45	04:50:45	04:50:45	04:50:54	04:50:54	04:50:54	04:50:54	04:50:54	04:50:54			04:50:55	04:50:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:10
9	04:50:55	04:50:55	04:50:55	04:50:55	04:50:55	04:50:55			04:50:55	04:50:55	04:50:56	04:50:56	04:51:06	04:51:06	04:51:06	04:51:06	04:51:06	04:51:06			04:51:08	04:51:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
