ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2202.4487824375888	2202.4487824375888	
1	2233.611963513623	2233.611963513623	
2	2259.635710016859	2259.635710016859	
3	2279.9163602255544	2279.9163602255544	
4	2298.8816659924573	2298.8816659924573	
5	2312.1590823816523	2312.1590823816523	
6	2319.589547491758	2319.589547491758	
7	2324.357804641649	2324.357804641649	
8	2326.8368650573957	2326.8368650573957	
9	2326.2464055204596	2326.2464055204596	
10	2321.2340659727083	2321.2340659727083	
11	2317.6200048604956	2317.6200048604956	
12	2315.302256794862	2315.302256794862	
13	2312.1559622407412	2312.1559622407412	
14	2307.250087297606	2307.250087297606	
15	2305.919951197351	2305.919951197351	
16	2298.6849983635493	2298.6849983635493	
17	2303.728745987074	2303.728745987074	
18	2295.8161008844563	2295.8161008844563	
19	2301.5779175056755	2301.5779175056755	
20	2293.237050435382	2293.237050435382	
