Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	06:12:21	06:12:21	06:12:21			06:12:21	06:12:21	06:12:21	06:12:21	06:12:21	06:12:21	06:12:21	06:12:29	06:12:29	06:12:29	06:12:29	06:12:29	06:12:29			06:12:30	06:12:30		00:00:00		00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:09
1	06:12:31	06:12:31	06:12:31	06:12:31	06:12:31	06:12:31	06:12:31	06:12:31	06:12:31	06:12:31	06:12:31	06:12:31	06:12:38	06:12:38	06:12:38	06:12:38	06:12:38	06:12:38			06:12:39	06:12:39		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
2	06:12:39	06:12:39	06:12:39	06:12:39	06:12:39	06:12:39			06:12:39	06:12:39	06:12:39	06:12:39	06:12:46	06:12:46	06:12:46	06:12:46	06:12:46	06:12:46			06:12:46	06:12:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
3	06:12:46	06:12:46	06:12:46	06:12:46	06:12:47	06:12:47			06:12:47	06:12:47	06:12:47	06:12:47	06:12:53	06:12:53	06:12:53	06:12:53	06:12:53	06:12:53			06:12:54	06:12:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
4	06:12:54	06:12:54	06:12:54	06:12:54	06:12:54	06:12:54			06:12:54	06:12:54	06:12:54	06:12:54	06:13:00	06:13:00	06:13:00	06:13:00	06:13:00	06:13:00			06:13:01	06:13:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
5	06:13:01	06:13:01	06:13:01	06:13:01	06:13:01	06:13:01			06:13:01	06:13:01	06:13:01	06:13:01	06:13:07	06:13:07	06:13:07	06:13:07	06:13:07	06:13:07			06:13:07	06:13:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
6	06:13:08	06:13:08	06:13:08	06:13:08	06:13:08	06:13:08			06:13:08	06:13:08	06:13:08	06:13:08	06:13:14	06:13:14	06:13:14	06:13:14	06:13:14	06:13:14			06:13:14	06:13:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
7	06:13:14	06:13:14	06:13:14	06:13:14	06:13:14	06:13:14			06:13:14	06:13:14	06:13:14	06:13:14	06:13:21	06:13:21	06:13:21	06:13:21	06:13:21	06:13:21			06:13:21	06:13:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
8	06:13:21	06:13:21	06:13:21	06:13:21	06:13:21	06:13:21			06:13:21	06:13:21	06:13:21	06:13:21	06:13:28	06:13:28	06:13:28	06:13:28	06:13:28	06:13:28			06:13:29	06:13:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
9	06:13:29	06:13:29	06:13:29	06:13:29	06:13:29	06:13:29			06:13:29	06:13:29	06:13:29	06:13:29	06:13:35	06:13:35	06:13:35	06:13:35	06:13:35	06:13:35			06:13:35	06:13:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
10	06:13:35	06:13:35	06:13:35	06:13:35	06:13:35	06:13:35	06:13:35	06:13:36	06:13:36	06:13:36	06:13:36	06:13:36	06:13:42	06:13:42	06:13:42	06:13:42	06:13:42	06:13:42	06:13:42	06:13:42	06:13:43	06:13:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07
11	06:13:43	06:13:43	06:13:43	06:13:43	06:13:43	06:13:43			06:13:43	06:13:43	06:13:43	06:13:43	06:13:49	06:13:49	06:13:49	06:13:49	06:13:49	06:13:49			06:13:49	06:13:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
12	06:13:49	06:13:49	06:13:49	06:13:49	06:13:49	06:13:49			06:13:49	06:13:49	06:13:49	06:13:49	06:13:56	06:13:56	06:13:56	06:13:56	06:13:56	06:13:56			06:13:56	06:13:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
13	06:13:56	06:13:56	06:13:56	06:13:56	06:13:56	06:13:56			06:13:56	06:13:56	06:13:56	06:13:56	06:14:03	06:14:03	06:14:03	06:14:03	06:14:03	06:14:03			06:14:03	06:14:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
14	06:14:03	06:14:03	06:14:03	06:14:03	06:14:03	06:14:03			06:14:03	06:14:03	06:14:04	06:14:04	06:14:10	06:14:10	06:14:10	06:14:10	06:14:10	06:14:10			06:14:10	06:14:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
15	06:14:10	06:14:10	06:14:10	06:14:10	06:14:10	06:14:10			06:14:10	06:14:10	06:14:10	06:14:10	06:14:16	06:14:16	06:14:17	06:14:17	06:14:17	06:14:17			06:14:17	06:14:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
16	06:14:17	06:14:17	06:14:17	06:14:17	06:14:17	06:14:17			06:14:17	06:14:17	06:14:17	06:14:17	06:14:24	06:14:24	06:14:24	06:14:24	06:14:24	06:14:24			06:14:24	06:14:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
17	06:14:24	06:14:24	06:14:24	06:14:24	06:14:24	06:14:24			06:14:24	06:14:24	06:14:24	06:14:24	06:14:30	06:14:30	06:14:30	06:14:30	06:14:30	06:14:30			06:14:31	06:14:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
18	06:14:31	06:14:31	06:14:31	06:14:31	06:14:31	06:14:31			06:14:31	06:14:31	06:14:31	06:14:31	06:14:37	06:14:37	06:14:37	06:14:37	06:14:37	06:14:37			06:14:38	06:14:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
