ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2052.3333333333335	2052.3333333333335	
1	2052.3333333333335	2052.3333333333335	
2	2052.3333333333335	2052.3333333333335	
3	2052.3333333333335	2052.3333333333335	
4	2052.3333333333335	2052.3333333333335	
5	2052.3333333333335	2052.3333333333335	
6	2052.3333333333335	2052.3333333333335	
7	2052.3333333333335	2052.3333333333335	
8	2052.3333333333335	2052.3333333333335	
9	2052.3333333333335	2052.3333333333335	
10	2052.3333333333335	2052.3333333333335	
11	2052.3333333333335	2052.3333333333335	
12	2052.3333333333335	2052.3333333333335	
13	2052.3333333333335	2052.3333333333335	
14	2052.3333333333335	2052.3333333333335	
15	2052.3333333333335	2052.3333333333335	
16	2052.3333333333335	2052.3333333333335	
17	2052.3333333333335	2052.3333333333335	
18	2052.3333333333335	2052.3333333333335	
19	2052.3333333333335	2052.3333333333335	
20	2052.3333333333335	2052.3333333333335	
