Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:58:09	04:58:09	04:58:09			04:58:09	04:58:09	04:58:11	04:58:11	04:58:11	04:58:11	04:58:11	04:58:27	04:58:27	04:58:27	04:58:27	04:58:27	04:58:27			04:58:31	04:58:31		00:00:00		00:00:01	00:00:01	00:00:00	00:00:16	00:00:00	00:00:00		00:00:03	00:00:22
1	04:58:31	04:58:31	04:58:32	04:58:32	04:58:32	04:58:32	04:58:32	04:58:33	04:58:33	04:58:33	04:58:33	04:58:33	04:58:44	04:58:44	04:58:44	04:58:44	04:58:44	04:58:44			04:58:46	04:58:46		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:14
2	04:58:46	04:58:46	04:58:46	04:58:46	04:58:46	04:58:46			04:58:46	04:58:46	04:58:46	04:58:46	04:58:57	04:58:57	04:58:57	04:58:57	04:58:57	04:58:57			04:58:58	04:58:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
3	04:58:58	04:58:58	04:58:58	04:58:58	04:58:58	04:58:58			04:58:58	04:58:58	04:58:58	04:58:58	04:59:07	04:59:07	04:59:07	04:59:07	04:59:07	04:59:07			04:59:07	04:59:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
4	04:59:07	04:59:07	04:59:07	04:59:07	04:59:07	04:59:07			04:59:08	04:59:08	04:59:08	04:59:08	04:59:16	04:59:16	04:59:16	04:59:16	04:59:16	04:59:16			04:59:17	04:59:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:10
5	04:59:18	04:59:18	04:59:18	04:59:18	04:59:18	04:59:18			04:59:18	04:59:18	04:59:18	04:59:18	04:59:27	04:59:27	04:59:27	04:59:27	04:59:27	04:59:27			04:59:28	04:59:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
6	04:59:28	04:59:28	04:59:28	04:59:28	04:59:28	04:59:28			04:59:28	04:59:28	04:59:28	04:59:28	04:59:37	04:59:37	04:59:38	04:59:38	04:59:38	04:59:38			04:59:38	04:59:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
7	04:59:39	04:59:39	04:59:39	04:59:39	04:59:39	04:59:39			04:59:39	04:59:39	04:59:39	04:59:39	04:59:48	04:59:48	04:59:48	04:59:48	04:59:48	04:59:48			04:59:49	04:59:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
8	04:59:49	04:59:49	04:59:49	04:59:49	04:59:49	04:59:49			04:59:49	04:59:49	04:59:49	04:59:49	04:59:58	04:59:58	04:59:58	04:59:58	04:59:58	04:59:58			04:59:59	04:59:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
9	04:59:59	04:59:59	04:59:59	04:59:59	04:59:59	04:59:59			04:59:59	04:59:59	04:59:59	04:59:59	05:00:07	05:00:07	05:00:07	05:00:07	05:00:07	05:00:07			05:00:08	05:00:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
10	05:00:08	05:00:08	05:00:08	05:00:08	05:00:08	05:00:08	05:00:08	05:00:10	05:00:10	05:00:10	05:00:10	05:00:10	05:00:19	05:00:19	05:00:19	05:00:19	05:00:19	05:00:19	05:00:19	05:00:19	05:00:21	05:00:21		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:01	00:00:12
11	05:00:21	05:00:21	05:00:21	05:00:21	05:00:21	05:00:21			05:00:21	05:00:21	05:00:21	05:00:21	05:00:29	05:00:29	05:00:29	05:00:29	05:00:29	05:00:29			05:00:30	05:00:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
12	05:00:30	05:00:30	05:00:30	05:00:30	05:00:30	05:00:30			05:00:30	05:00:30	05:00:30	05:00:30	05:00:38	05:00:38	05:00:38	05:00:38	05:00:38	05:00:38			05:00:39	05:00:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
