Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	154.96277777777777	0.0	0.0	0.0
1	153.87083333333334	0.0	0.0	0.0
2	153.04888888888888	0.0	0.0	0.0
3	151.75277777777777	0.0	0.0	0.0
4	151.5186111111111	0.0	0.0	0.0
5	151.05166666666668	0.0	0.0	0.0
6	150.79694444444445	0.0	0.0	0.0
7	150.58972222222224	0.0	0.0	0.0
8	150.37027777777777	0.0	0.0	0.0
9	150.08666666666667	0.0	0.0	0.0
10	150.10944444444445	0.0	0.0	0.0
11	150.12166666666667	0.0	0.0	0.0
12	149.84472222222223	0.0	0.0	0.0
13	150.02944444444444	0.0	0.0	0.0
14	149.83083333333335	0.0	0.0	0.0
15	149.79305555555555	0.0	0.0	0.0
16	149.83638888888888	0.0	0.0	0.0
17	149.69555555555556	0.0	0.0	0.0
18	149.9638888888889	0.0	0.0	0.0
19	149.73361111111112	0.0	0.0	0.0
20	149.65194444444444	0.0	0.0	0.0
