Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	68.72583333333333	0.0	0.0	0.0
1	68.65333333333334	0.0	0.0	0.0
2	68.5213888888889	0.0	0.0	0.0
3	68.43972222222222	0.0	0.0	0.0
4	68.40194444444444	0.0	0.0	0.0
5	68.31888888888889	0.0	0.0	0.0
6	68.25472222222223	0.0	0.0	0.0
7	68.24972222222222	0.0	0.0	0.0
8	68.23166666666667	0.0	0.0	0.0
9	68.22166666666666	0.0	0.0	0.0
10	68.13277777777778	0.0	0.0	0.0
11	68.11	0.0	0.0	0.0
12	68.13111111111111	0.0	0.0	0.0
13	68.10666666666667	0.0	0.0	0.0
14	68.05166666666666	0.0	0.0	0.0
15	68.08444444444444	0.0	0.0	0.0
16	68.1061111111111	0.0	0.0	0.0
17	68.09666666666666	0.0	0.0	0.0
18	68.04666666666667	0.0	0.0	0.0
19	68.03361111111111	0.0	0.0	0.0
20	68.02222222222223	0.0	0.0	0.0
