ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	133.5592338973985	133.5592338973985	133.5592338973985	133.5592338973985
1	133.56078898901825	133.5591497524022	133.56060763958834	133.56206552677446
2	133.5639029925578	133.55958656278048	133.56222316911615	133.56479001082468
3	133.56580729478281	133.55974664911832	133.5633596543462	133.56691441819086
4	133.56644419407505	133.5587602131571	133.56351693178564	133.56824613525458
5	133.56776297332402	133.55783428750567	133.56369227301232	133.56928839873365
6	133.56909438596398	133.55703921243997	133.5644107416153	133.57140680461302
7	133.56919268632524	133.5555430296345	133.56360455178944	133.57130443617922
8	133.56942186488055	133.55443533845948	133.56330113419716	133.57181272511963
9	133.5695025778958	133.55344109877913	133.56274769647672	133.57210720931636
10	133.5713815843846	133.55297413925828	133.5629987415725	133.57304341763017
11	133.57211172319637	133.55279599705216	133.56327276681412	133.5738931911007
12	133.57195840733482	133.55139646986615	133.56260086376602	133.5737672534197
13	133.57219323114055	133.54971121688658	133.56234994394953	133.5748271154559
14	133.5735096672944	133.54899476219194	133.56236265547366	133.57559457109699
15	133.5729516519266	133.54799194119886	133.5616452255468	133.5752112854096
16	133.57253897783244	133.54671510755307	133.56098751845573	133.57517578065972
17	133.57234901009403	133.54574759146732	133.5604030887345	133.5750562691861
18	133.57375054019124	133.54513526874808	133.56025908287998	133.57554306364776
19	133.5737806246262	133.54485731664795	133.56076431839062	133.57658666338136
20	133.57399911160823	133.54432750904854	133.56034756374387	133.57594247638326
