Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	17:41:19	17:41:19	17:41:19	17:41:19	17:41:19	17:41:19			17:41:19	17:41:19	17:41:19	17:41:19	17:41:30	17:41:30	17:41:30	17:41:30	17:41:30	17:41:30			17:41:30	17:41:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:10
18	17:41:30	17:41:30	17:41:30	17:41:30	17:41:30	17:41:30			17:41:30	17:41:30	17:41:30	17:41:30	17:41:41	17:41:41	17:41:41	17:41:41	17:41:41	17:41:41			17:41:41	17:41:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:10
19	17:41:41	17:41:41	17:41:41	17:41:41	17:41:41	17:41:41			17:41:41	17:41:41	17:41:41	17:41:41	17:41:51	17:41:51	17:41:51	17:41:51	17:41:51	17:41:51			17:41:52	17:41:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
20	17:41:52	17:41:52	17:41:52	17:41:52	17:41:52	17:41:52	17:41:52	17:41:52	17:41:52	17:41:52	17:41:52	17:41:52	17:42:03	17:42:03	17:42:03	17:42:03	17:42:03	17:42:03	17:42:03	17:42:03	17:42:03	17:42:03		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11
21	17:42:04	17:42:04	17:42:04	17:42:04	17:42:04	17:42:04			17:42:04	17:42:04	17:42:04	17:42:04	17:42:14	17:42:14	17:42:14	17:42:14	17:42:14	17:42:14			17:42:16	17:42:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
22	17:42:16	17:42:16	17:42:16	17:42:16	17:42:16	17:42:16			17:42:16	17:42:16	17:42:16	17:42:16	17:42:27	17:42:27	17:42:27	17:42:27	17:42:27	17:42:27			17:42:28	17:42:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
23	17:42:28	17:42:28	17:42:28	17:42:28	17:42:28	17:42:28			17:42:28	17:42:28	17:42:28	17:42:28	17:42:38	17:42:38	17:42:38	17:42:38	17:42:38	17:42:38			17:42:38	17:42:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
24	17:42:39	17:42:39	17:42:39	17:42:39	17:42:39	17:42:39			17:42:39	17:42:39	17:42:39	17:42:39	17:42:48	17:42:48	17:42:48	17:42:48	17:42:48	17:42:48			17:42:49	17:42:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
25	17:42:49	17:42:49	17:42:49	17:42:49	17:42:49	17:42:49			17:42:49	17:42:49	17:42:49	17:42:49	17:42:59	17:42:59	17:42:59	17:42:59	17:42:59	17:42:59			17:42:59	17:42:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
26	17:43:00	17:43:00	17:43:00	17:43:00	17:43:00	17:43:00			17:43:00	17:43:00	17:43:00	17:43:00	17:43:10	17:43:10	17:43:10	17:43:10	17:43:10	17:43:10			17:43:10	17:43:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:10
27	17:43:11	17:43:11	17:43:11	17:43:11	17:43:11	17:43:11			17:43:11	17:43:11	17:43:11	17:43:11	17:43:21	17:43:21	17:43:21	17:43:21	17:43:21	17:43:21			17:43:22	17:43:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
28	17:43:22	17:43:22	17:43:22	17:43:22	17:43:22	17:43:22			17:43:22	17:43:22	17:43:22	17:43:22	17:43:35	17:43:35	17:43:35	17:43:35	17:43:35	17:43:35			17:43:37	17:43:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
29	17:43:37	17:43:37	17:43:37	17:43:37	17:43:37	17:43:37			17:43:37	17:43:37	17:43:38	17:43:38	17:43:51	17:43:51	17:43:51	17:43:51	17:43:51	17:43:51			17:43:52	17:43:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:00	00:00:14
30	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52	17:43:52	17:44:02	17:44:02	17:44:02	17:44:02	17:44:02	17:44:02	17:44:02	17:44:02	17:44:03	17:44:03		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10
31	17:44:03	17:44:03	17:44:03	17:44:03	17:44:03	17:44:03			17:44:03	17:44:03	17:44:03	17:44:03	17:44:12	17:44:12	17:44:13	17:44:13	17:44:13	17:44:13			17:44:13	17:44:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
32	17:44:13	17:44:13	17:44:13	17:44:13	17:44:13	17:44:13			17:44:13	17:44:13	17:44:13	17:44:13	17:44:23	17:44:23	17:44:23	17:44:23	17:44:23	17:44:23			17:44:23	17:44:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
33	17:44:23	17:44:23	17:44:23	17:44:23	17:44:23	17:44:23			17:44:23	17:44:23	17:44:23	17:44:23	17:44:33	17:44:33	17:44:33	17:44:33	17:44:33	17:44:33			17:44:33	17:44:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
34	17:44:34	17:44:34	17:44:34	17:44:34	17:44:34	17:44:34			17:44:34	17:44:34	17:44:34	17:44:34	17:44:43	17:44:43	17:44:43	17:44:43	17:44:43	17:44:43			17:44:44	17:44:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
35	17:44:44	17:44:44	17:44:44	17:44:44	17:44:44	17:44:44			17:44:44	17:44:44	17:44:44	17:44:44	17:44:54	17:44:54	17:44:54	17:44:54	17:44:54	17:44:54			17:44:54	17:44:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
36	17:44:55	17:44:55	17:44:55	17:44:55	17:44:55	17:44:55			17:44:55	17:44:55	17:44:55	17:44:55	17:45:04	17:45:04	17:45:04	17:45:04	17:45:04	17:45:04			17:45:05	17:45:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
37	17:45:05	17:45:05	17:45:05	17:45:05	17:45:05	17:45:05			17:45:05	17:45:05	17:45:05	17:45:05	17:45:15	17:45:15	17:45:15	17:45:15	17:45:15	17:45:15			17:45:15	17:45:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
38	17:45:15	17:45:15	17:45:15	17:45:15	17:45:15	17:45:15			17:45:15	17:45:15	17:45:15	17:45:15	17:45:25	17:45:25	17:45:25	17:45:25	17:45:25	17:45:25			17:45:25	17:45:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
