ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	133.46963708956773	133.46963708956773	133.46963708956773	133.46963708956773
1	133.47461266592816	133.4723187509104	133.4737353749491	133.4751519989877
2	133.476903801287	133.47307333995712	133.4754542435263	133.4777004496861
3	133.4803708478943	133.47345602724724	133.47763868455806	133.4815179903827
4	133.48418576838725	133.4752832471795	133.48023364486187	133.484799801386
5	133.48575154335106	133.47561473793485	133.48125461045132	133.48640801289267
6	133.48548096144057	133.47405505171693	133.48076950911798	133.48695345443778
7	133.4874743582564	133.47370272061582	133.48195693339855	133.48950724975668
8	133.48797326249615	133.47227908196416	133.48145872517665	133.49000436378626
9	133.4870077269133	133.47064887325075	133.4807762062824	133.49013828329137
10	133.48880258257006	133.47020650824552	133.48087736173935	133.49079941059506
11	133.48984617074842	133.46959223837138	133.48101030452878	133.4914178625412
12	133.49007373908185	133.46893258590376	133.48086271511556	133.4919024144718
13	133.49024384036912	133.46800822433516	133.4805222468941	133.49179112841972
14	133.48935395536895	133.466907791344	133.4801731143261	133.49248888222223
15	133.49009739339235	133.4660175394589	133.47974695298134	133.49225851772678
16	133.49114687448318	133.46578340881905	133.47999055793778	133.49309845160423
17	133.49145679720502	133.46539862466454	133.48026152902744	133.4939022563742
18	133.49134413824024	133.46446560925372	133.47962137564812	133.4935172306698
19	133.49065544842887	133.46316358815272	133.47886462802734	133.49354962294456
20	133.49004083799335	133.46266200392367	133.47838094744588	133.493182261233
