Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	07:13:33	07:13:33	07:13:33			07:13:33	07:13:33	07:13:33	07:13:33	07:13:33	07:13:33	07:13:33	07:13:42	07:13:42	07:13:42	07:13:42	07:13:42	07:13:42			07:13:43	07:13:43		00:00:00		00:00:00	00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:10
1	07:13:44	07:13:44	07:13:44	07:13:44	07:13:44	07:13:44	07:13:44	07:13:44	07:13:44	07:13:44	07:13:44	07:13:44	07:13:51	07:13:51	07:13:51	07:13:51	07:13:51	07:13:51			07:13:53	07:13:53		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:08
2	07:13:53	07:13:53	07:13:53	07:13:53	07:13:53	07:13:53			07:13:53	07:13:53	07:13:53	07:13:53	07:14:00	07:14:00	07:14:00	07:14:00	07:14:00	07:14:00			07:14:00	07:14:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
3	07:14:01	07:14:01	07:14:01	07:14:01	07:14:01	07:14:01			07:14:01	07:14:01	07:14:01	07:14:01	07:14:08	07:14:08	07:14:08	07:14:08	07:14:08	07:14:08			07:14:08	07:14:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
4	07:14:09	07:14:09	07:14:09	07:14:09	07:14:09	07:14:09			07:14:09	07:14:09	07:14:09	07:14:09	07:14:16	07:14:16	07:14:16	07:14:16	07:14:16	07:14:16			07:14:16	07:14:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
5	07:14:16	07:14:16	07:14:16	07:14:16	07:14:16	07:14:16			07:14:16	07:14:16	07:14:16	07:14:16	07:14:23	07:14:23	07:14:23	07:14:23	07:14:23	07:14:23			07:14:24	07:14:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
6	07:14:24	07:14:24	07:14:24	07:14:24	07:14:24	07:14:24			07:14:24	07:14:24	07:14:24	07:14:24	07:14:30	07:14:30	07:14:30	07:14:30	07:14:30	07:14:30			07:14:31	07:14:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
7	07:14:31	07:14:31	07:14:31	07:14:31	07:14:31	07:14:31			07:14:31	07:14:31	07:14:31	07:14:31	07:14:38	07:14:38	07:14:38	07:14:38	07:14:38	07:14:38			07:14:38	07:14:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
8	07:14:38	07:14:38	07:14:38	07:14:38	07:14:38	07:14:38			07:14:38	07:14:38	07:14:38	07:14:38	07:14:45	07:14:45	07:14:45	07:14:45	07:14:45	07:14:45			07:14:46	07:14:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
9	07:14:46	07:14:46	07:14:46	07:14:46	07:14:46	07:14:46			07:14:46	07:14:46	07:14:46	07:14:46	07:14:53	07:14:53	07:14:53	07:14:53	07:14:53	07:14:53			07:14:53	07:14:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
10	07:14:53	07:14:53	07:14:53	07:14:53	07:14:53	07:14:53	07:14:53	07:14:54	07:14:54	07:14:54	07:14:54	07:14:54	07:15:01	07:15:01	07:15:01	07:15:01	07:15:01	07:15:01	07:15:01	07:15:01	07:15:01	07:15:01		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07
11	07:15:01	07:15:01	07:15:01	07:15:01	07:15:01	07:15:01			07:15:01	07:15:01	07:15:01	07:15:01	07:15:08	07:15:08	07:15:08	07:15:08	07:15:08	07:15:08			07:15:08	07:15:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
