Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	03:33:10	03:33:10	03:33:10			03:33:10	03:33:10	03:33:10	03:33:10	03:33:10	03:33:10	03:33:10	03:33:20	03:33:20	03:33:20	03:33:20	03:33:20	03:33:20			03:33:22	03:33:22		00:00:00		00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:12
1	03:33:23	03:33:23	03:33:23	03:33:23	03:33:23	03:33:23	03:33:23	03:33:23	03:33:23	03:33:23	03:33:23	03:33:23	03:33:31	03:33:31	03:33:31	03:33:31	03:33:31	03:33:31			03:33:33	03:33:33		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:02	00:00:10
2	03:33:33	03:33:33	03:33:34	03:33:34	03:33:34	03:33:34			03:33:34	03:33:34	03:33:34	03:33:34	03:33:42	03:33:42	03:33:42	03:33:42	03:33:42	03:33:42			03:33:42	03:33:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
3	03:33:43	03:33:43	03:33:43	03:33:43	03:33:43	03:33:43			03:33:43	03:33:43	03:33:43	03:33:43	03:33:50	03:33:50	03:33:50	03:33:50	03:33:50	03:33:50			03:33:51	03:33:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
4	03:33:51	03:33:51	03:33:51	03:33:51	03:33:51	03:33:51			03:33:51	03:33:51	03:33:51	03:33:51	03:33:59	03:33:59	03:33:59	03:33:59	03:33:59	03:33:59			03:34:00	03:34:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
5	03:34:00	03:34:00	03:34:00	03:34:00	03:34:00	03:34:00			03:34:00	03:34:00	03:34:00	03:34:00	03:34:08	03:34:08	03:34:08	03:34:08	03:34:08	03:34:08			03:34:09	03:34:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
6	03:34:09	03:34:09	03:34:09	03:34:09	03:34:09	03:34:09			03:34:09	03:34:09	03:34:09	03:34:09	03:34:17	03:34:17	03:34:17	03:34:17	03:34:17	03:34:17			03:34:17	03:34:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
7	03:34:17	03:34:17	03:34:17	03:34:17	03:34:17	03:34:17			03:34:17	03:34:17	03:34:17	03:34:17	03:34:25	03:34:25	03:34:25	03:34:25	03:34:25	03:34:25			03:34:25	03:34:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
8	03:34:26	03:34:26	03:34:26	03:34:26	03:34:26	03:34:26			03:34:26	03:34:26	03:34:26	03:34:26	03:34:33	03:34:33	03:34:33	03:34:33	03:34:33	03:34:33			03:34:34	03:34:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
9	03:34:34	03:34:34	03:34:34	03:34:34	03:34:34	03:34:34			03:34:34	03:34:34	03:34:34	03:34:34	03:34:42	03:34:42	03:34:42	03:34:42	03:34:42	03:34:42			03:34:42	03:34:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
