ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2188.073714023161	2188.073714023161	
1	2204.8994424382927	2204.8994424382927	
2	2217.9501205144	2217.9501205144	
3	2230.778978617416	2230.778978617416	
4	2242.218167510768	2242.218167510768	
5	2251.4305930697074	2251.4305930697074	
6	2254.741230169435	2254.741230169435	
7	2257.8214151545876	2257.8214151545876	
8	2262.4676075099824	2262.4676075099824	
9	2260.4893984622317	2260.4893984622317	
10	2260.169268988322	2260.169268988322	
11	2259.081306542093	2259.081306542093	
12	2259.1548095471976	2259.1548095471976	
13	2259.9907056008105	2259.9907056008105	
14	2258.6252777583018	2258.6252777583018	
15	2256.7709626917426	2256.7709626917426	
16	2261.5528244692505	2261.5528244692505	
17	2258.715656648912	2258.715656648912	
18	2260.4662230060367	2260.4662230060367	
19	2260.2450618602034	2260.2450618602034	
20	2262.8725880355228	2262.8725880355228	
