ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	102.64267755728399	102.64267755728399	102.64267755728399	102.64267755728399
1	102.64377528043677	102.64253471629273	102.6435159284429	102.64449714059302
2	102.64639395231322	102.64245302584516	102.64474337879768	102.64703538414068
3	102.64815734214267	102.64145869990031	102.64540463797493	102.64923728215982
4	102.64971919870504	102.64069963105561	102.64624960436007	102.6516550464135
5	102.65065288840982	102.63918674192202	102.64591389237506	102.65241015285896
6	102.65235783971877	102.63896351932563	102.64649445809465	102.6538102248088
7	102.65393573455897	102.63901474661942	102.64738920274175	102.65506275669256
8	102.65314527672429	102.63701938206509	102.64689895726234	102.65565940544646
9	102.65512118842926	102.63647189206466	102.64691901565467	102.6564347371041
10	102.65604273261359	102.63560348535462	102.6477264516209	102.6582646722322
11	102.65454522209059	102.63434092544713	102.64708203832792	102.65823638776392
12	102.65495692664466	102.63218605463435	102.64596987385251	102.65818132047835
13	102.65697450532089	102.63132329724552	102.64617567978539	102.65884387113768
14	102.65712267274357	102.63045931412634	102.64600799943574	102.65960559587246
15	102.65710579442464	102.62875633319878	102.64541413626479	102.66041887739264
16	102.65594317522222	102.62722764746016	102.6439738395546	102.65899308033303
17	102.65723589615494	102.626275714895	102.64369561846904	102.6593244225799
18	102.65686167107218	102.6253388825819	102.64360504813328	102.65979841280809
19	102.65705708448476	102.62410512502194	102.64312209176855	102.66000727341007
20	102.65763575308995	102.62366163616831	102.64295198965937	102.65992280773455
