Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	65.70222222222222	0.0	0.0	0.0
1	65.71111111111111	0.0	0.0	0.0
2	65.68527777777778	0.0	0.0	0.0
3	65.67055555555555	0.0	0.0	0.0
4	65.6661111111111	0.0	0.0	0.0
5	65.67055555555555	0.0	0.0	0.0
6	65.66055555555556	0.0	0.0	0.0
7	65.65194444444444	0.0	0.0	0.0
8	65.65277777777777	0.0	0.0	0.0
9	65.64527777777778	0.0	0.0	0.0
10	65.64527777777778	0.0	0.0	0.0
11	65.6511111111111	0.0	0.0	0.0
12	65.6425	0.0	0.0	0.0
13	65.64861111111111	0.0	0.0	0.0
14	65.64138888888888	0.0	0.0	0.0
15	65.63166666666666	0.0	0.0	0.0
16	65.62777777777778	0.0	0.0	0.0
17	65.625	0.0	0.0	0.0
18	65.63	0.0	0.0	0.0
19	65.62805555555556	0.0	0.0	0.0
20	65.62694444444445	0.0	0.0	0.0
