Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	79.52222222222223	0.0	0.0	0.0
1	78.78583333333333	0.0	0.0	0.0
2	78.25611111111111	0.0	0.0	0.0
3	77.62	0.0	0.0	0.0
4	77.0663888888889	0.0	0.0	0.0
5	76.88305555555556	0.0	0.0	0.0
6	76.67111111111112	0.0	0.0	0.0
7	76.47166666666666	0.0	0.0	0.0
8	76.39083333333333	0.0	0.0	0.0
9	76.3861111111111	0.0	0.0	0.0
10	76.24	0.0	0.0	0.0
11	76.12694444444445	0.0	0.0	0.0
12	76.22083333333333	0.0	0.0	0.0
13	76.18222222222222	0.0	0.0	0.0
14	76.0988888888889	0.0	0.0	0.0
15	75.85666666666667	0.0	0.0	0.0
16	75.81777777777778	0.0	0.0	0.0
17	75.84972222222223	0.0	0.0	0.0
18	75.83722222222222	0.0	0.0	0.0
19	75.75055555555555	0.0	0.0	0.0
20	75.74583333333334	0.0	0.0	0.0
