ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	133.27355725372178	133.27355725372178	133.27355725372178	133.27355725372178
1	133.2894762118381	133.28153126548034	133.2860311941854	133.29053112289057
2	133.2999957537577	133.2842822096668	133.2932959741047	133.3022625130041
3	133.31369332409764	133.2865096591722	133.30202817069448	133.31679136880192
4	133.32385026805076	133.29005738554886	133.30899720409232	133.32699559810945
5	133.3274363115234	133.2887528407369	133.31067053108313	133.3313370529989
6	133.33206395016597	133.29004060279868	133.31396628139436	133.3368136971403
7	133.33658350948448	133.28742709747905	133.31524081357045	133.3418796801693
8	133.3387329078645	133.28531739954448	133.31555659761526	133.34435315577713
9	133.33896089865624	133.2801820761307	133.31413741551782	133.34638292791146
10	133.3423619891256	133.2793729211975	133.31463839422102	133.34790330948425
11	133.34497774299444	133.27860548967286	133.3156321827381	133.35082208988482
12	133.343156396684	133.27506553333617	133.3138845450651	133.3506500620079
13	133.34260878640438	133.2721043220643	133.31254770566937	133.35066619610404
14	133.34463011800037	133.26710024300766	133.3113030107694	133.35288669755587
15	133.34900922086572	133.26639338361753	133.3123487096641	133.35499172273543
16	133.3511294538867	133.26513586089806	133.31249060672533	133.35733397116485
17	133.35040312117226	133.2620437607839	133.3118628728428	133.358009862907
18	133.3496013723488	133.26023876718278	133.31147377270884	133.35909146060368
19	133.35278409706137	133.25694542352446	133.30980944274611	133.3595108870877
20	133.3526662293758	133.25607637350106	133.30944213204884	133.36061084565716
