Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	130.68694444444444	0.0	0.0	0.0
1	130.4425	0.0	0.0	0.0
2	130.37694444444443	0.0	0.0	0.0
3	130.34722222222223	0.0	0.0	0.0
4	130.36916666666667	0.0	0.0	0.0
5	130.30333333333334	0.0	0.0	0.0
6	130.2511111111111	0.0	0.0	0.0
7	130.255	0.0	0.0	0.0
8	130.23416666666665	0.0	0.0	0.0
9	130.22555555555556	0.0	0.0	0.0
10	130.1775	0.0	0.0	0.0
11	130.1772222222222	0.0	0.0	0.0
12	130.17527777777778	0.0	0.0	0.0
13	130.17083333333332	0.0	0.0	0.0
14	130.15944444444443	0.0	0.0	0.0
15	130.1302777777778	0.0	0.0	0.0
16	130.10194444444446	0.0	0.0	0.0
17	130.1136111111111	0.0	0.0	0.0
18	130.12305555555557	0.0	0.0	0.0
19	130.1538888888889	0.0	0.0	0.0
20	130.16166666666666	0.0	0.0	0.0
