Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	317.3227777777778	0.0	0.0	0.0
1	317.3011111111111	0.0	0.0	0.0
2	317.24055555555555	0.0	0.0	0.0
3	317.175	0.0	0.0	0.0
4	317.16277777777776	0.0	0.0	0.0
5	317.1575	0.0	0.0	0.0
6	317.11305555555555	0.0	0.0	0.0
7	317.11027777777775	0.0	0.0	0.0
8	317.1122222222222	0.0	0.0	0.0
9	317.09777777777776	0.0	0.0	0.0
10	317.0786111111111	0.0	0.0	0.0
11	317.11027777777775	0.0	0.0	0.0
12	317.0961111111111	0.0	0.0	0.0
13	317.08222222222224	0.0	0.0	0.0
14	317.03805555555556	0.0	0.0	0.0
15	317.0252777777778	0.0	0.0	0.0
16	317.0372222222222	0.0	0.0	0.0
17	316.9844444444444	0.0	0.0	0.0
18	317.055	0.0	0.0	0.0
19	317.08694444444444	0.0	0.0	0.0
20	317.11611111111114	0.0	0.0	0.0
