Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	07:10:48	07:10:48	07:10:48			07:10:48	07:10:48	07:10:48	07:10:48	07:10:48	07:10:48	07:10:48	07:10:57	07:10:57	07:10:57	07:10:57	07:10:57	07:10:57			07:10:58	07:10:58		00:00:00		00:00:00	00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:10
1	07:10:59	07:10:59	07:10:59	07:10:59	07:10:59	07:10:59	07:10:59	07:10:59	07:10:59	07:10:59	07:10:59	07:10:59	07:11:06	07:11:06	07:11:06	07:11:06	07:11:06	07:11:06			07:11:07	07:11:07		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:01	00:00:08
2	07:11:07	07:11:07	07:11:07	07:11:07	07:11:07	07:11:07			07:11:07	07:11:07	07:11:07	07:11:07	07:11:14	07:11:14	07:11:14	07:11:14	07:11:14	07:11:14			07:11:14	07:11:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
3	07:11:14	07:11:14	07:11:14	07:11:14	07:11:14	07:11:14			07:11:15	07:11:15	07:11:15	07:11:15	07:11:21	07:11:21	07:11:21	07:11:21	07:11:21	07:11:21			07:11:22	07:11:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
4	07:11:22	07:11:22	07:11:22	07:11:22	07:11:22	07:11:22			07:11:22	07:11:22	07:11:22	07:11:22	07:11:28	07:11:28	07:11:28	07:11:28	07:11:28	07:11:28			07:11:29	07:11:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
5	07:11:29	07:11:29	07:11:29	07:11:29	07:11:29	07:11:29			07:11:29	07:11:29	07:11:29	07:11:29	07:11:35	07:11:35	07:11:35	07:11:35	07:11:35	07:11:35			07:11:36	07:11:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
6	07:11:36	07:11:36	07:11:36	07:11:36	07:11:36	07:11:36			07:11:36	07:11:36	07:11:36	07:11:36	07:11:42	07:11:42	07:11:42	07:11:42	07:11:42	07:11:42			07:11:43	07:11:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
7	07:11:43	07:11:43	07:11:43	07:11:43	07:11:43	07:11:43			07:11:43	07:11:43	07:11:43	07:11:43	07:11:49	07:11:49	07:11:49	07:11:49	07:11:49	07:11:49			07:11:50	07:11:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
8	07:11:50	07:11:50	07:11:50	07:11:50	07:11:50	07:11:50			07:11:50	07:11:50	07:11:50	07:11:50	07:11:56	07:11:56	07:11:56	07:11:56	07:11:56	07:11:56			07:11:57	07:11:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
9	07:11:57	07:11:57	07:11:57	07:11:57	07:11:57	07:11:57			07:11:57	07:11:57	07:11:57	07:11:57	07:12:03	07:12:03	07:12:03	07:12:03	07:12:03	07:12:03			07:12:04	07:12:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
