Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:53:38	04:53:38	04:53:38			04:53:38	04:53:38	04:53:39	04:53:39	04:53:39	04:53:39	04:53:39	04:53:58	04:53:58	04:53:58	04:53:58	04:53:58	04:53:58			04:54:02	04:54:02		00:00:00		00:00:01	00:00:01	00:00:00	00:00:18	00:00:00	00:00:00		00:00:04	00:00:24
1	04:54:03	04:54:03	04:54:03	04:54:03	04:54:03	04:54:03	04:54:03	04:54:05	04:54:05	04:54:05	04:54:05	04:54:05	04:54:15	04:54:15	04:54:15	04:54:15	04:54:15	04:54:15			04:54:17	04:54:17		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00	00:00:09	00:00:00	00:00:00		00:00:02	00:00:13
2	04:54:17	04:54:17	04:54:17	04:54:17	04:54:18	04:54:18			04:54:18	04:54:18	04:54:18	04:54:18	04:54:29	04:54:29	04:54:29	04:54:29	04:54:29	04:54:29			04:54:30	04:54:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
3	04:54:31	04:54:31	04:54:31	04:54:31	04:54:31	04:54:31			04:54:31	04:54:31	04:54:31	04:54:31	04:54:41	04:54:41	04:54:41	04:54:41	04:54:41	04:54:41			04:54:43	04:54:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:11
4	04:54:43	04:54:43	04:54:43	04:54:43	04:54:43	04:54:43			04:54:43	04:54:43	04:54:43	04:54:43	04:54:54	04:54:54	04:54:54	04:54:54	04:54:54	04:54:54			04:54:55	04:54:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
5	04:54:55	04:54:55	04:54:55	04:54:55	04:54:55	04:54:55			04:54:55	04:54:55	04:54:55	04:54:55	04:55:04	04:55:04	04:55:04	04:55:04	04:55:04	04:55:04			04:55:04	04:55:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
6	04:55:05	04:55:05	04:55:05	04:55:05	04:55:05	04:55:05			04:55:05	04:55:05	04:55:05	04:55:05	04:55:13	04:55:13	04:55:13	04:55:13	04:55:13	04:55:13			04:55:14	04:55:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
7	04:55:14	04:55:14	04:55:14	04:55:14	04:55:14	04:55:14			04:55:14	04:55:14	04:55:14	04:55:14	04:55:23	04:55:23	04:55:23	04:55:23	04:55:23	04:55:23			04:55:24	04:55:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
8	04:55:24	04:55:24	04:55:24	04:55:24	04:55:24	04:55:24			04:55:24	04:55:24	04:55:24	04:55:24	04:55:34	04:55:34	04:55:34	04:55:34	04:55:34	04:55:34			04:55:35	04:55:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
9	04:55:35	04:55:35	04:55:35	04:55:35	04:55:35	04:55:35			04:55:35	04:55:35	04:55:35	04:55:35	04:55:44	04:55:44	04:55:44	04:55:44	04:55:44	04:55:44			04:55:45	04:55:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
10	04:55:46	04:55:46	04:55:46	04:55:46	04:55:46	04:55:46	04:55:46	04:55:47	04:55:47	04:55:47	04:55:47	04:55:47	04:55:58	04:55:58	04:55:58	04:55:58	04:55:58	04:55:58	04:55:58	04:55:58	04:55:59	04:55:59		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:01	00:00:13
11	04:55:59	04:55:59	04:55:59	04:55:59	04:55:59	04:55:59			04:55:59	04:55:59	04:55:59	04:55:59	04:56:09	04:56:09	04:56:09	04:56:09	04:56:09	04:56:09			04:56:09	04:56:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
12	04:56:09	04:56:09	04:56:10	04:56:10	04:56:10	04:56:10			04:56:10	04:56:10	04:56:10	04:56:10	04:56:19	04:56:19	04:56:19	04:56:19	04:56:19	04:56:19			04:56:20	04:56:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:10
13	04:56:20	04:56:20	04:56:20	04:56:20	04:56:20	04:56:20			04:56:20	04:56:20	04:56:20	04:56:20	04:56:29	04:56:29	04:56:29	04:56:29	04:56:29	04:56:29			04:56:29	04:56:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
14	04:56:30	04:56:30	04:56:30	04:56:30	04:56:30	04:56:30			04:56:30	04:56:30	04:56:30	04:56:30	04:56:39	04:56:39	04:56:39	04:56:39	04:56:39	04:56:39			04:56:39	04:56:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
