ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2060.733333333333	2060.733333333333	
1	2065.866666666667	2065.866666666667	
2	2069.5	2069.5	
3	2071.733333333333	2071.733333333333	
4	2072.6	2072.6	
5	2074.266666666667	2074.266666666667	
6	2074.5	2074.5	
7	2074.5666666666666	2074.5666666666666	
8	2075.1	2075.1	
9	2075.233333333333	2075.233333333333	
10	2075.366666666667	2075.366666666667	
11	2075.266666666667	2075.266666666667	
12	2075.0666666666666	2075.0666666666666	
13	2074.633333333333	2074.633333333333	
14	2074.4333333333334	2074.4333333333334	
15	2074.4	2074.4	
16	2074.4333333333334	2074.4333333333334	
17	2074.4666666666667	2074.4666666666667	
18	2073.9	2073.9	
19	2073.866666666667	2073.866666666667	
20	2073.866666666667	2073.866666666667	
