Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	2267.547777777778	0.0	0.0	0.0
1	1872.7975	0.0	0.0	0.0
2	1640.37	0.0	0.0	0.0
3	1483.9086111111112	0.0	0.0	0.0
4	1390.6441666666667	0.0	0.0	0.0
5	1333.6583333333333	0.0	0.0	0.0
6	1306.0130555555556	0.0	0.0	0.0
7	1289.1852777777779	0.0	0.0	0.0
8	1276.905	0.0	0.0	0.0
9	1270.3966666666668	0.0	0.0	0.0
10	1262.6469444444444	0.0	0.0	0.0
11	1258.0997222222222	0.0	0.0	0.0
12	1258.5480555555555	0.0	0.0	0.0
13	1254.0030555555556	0.0	0.0	0.0
14	1254.3422222222223	0.0	0.0	0.0
15	1250.8330555555556	0.0	0.0	0.0
16	1250.4283333333333	0.0	0.0	0.0
17	1247.8025	0.0	0.0	0.0
18	1247.6316666666667	0.0	0.0	0.0
19	1246.9127777777778	0.0	0.0	0.0
20	1245.5805555555555	0.0	0.0	0.0
