Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:38:03	04:38:03	04:38:03			04:38:03	04:38:03	04:38:03	04:38:03	04:38:03	04:38:03	04:38:03	04:38:13	04:38:13	04:38:13	04:38:13	04:38:13	04:38:13			04:38:15	04:38:15		00:00:00		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
1	04:38:15	04:38:15	04:38:15	04:38:15	04:38:16	04:38:16	04:38:16	04:38:16	04:38:16	04:38:16	04:38:16	04:38:16	04:38:23	04:38:23	04:38:23	04:38:23	04:38:23	04:38:23			04:38:24	04:38:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:01	00:00:08
2	04:38:24	04:38:24	04:38:24	04:38:24	04:38:24	04:38:24			04:38:24	04:38:24	04:38:24	04:38:24	04:38:31	04:38:31	04:38:31	04:38:31	04:38:31	04:38:31			04:38:32	04:38:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
3	04:38:32	04:38:32	04:38:32	04:38:32	04:38:32	04:38:32			04:38:32	04:38:32	04:38:32	04:38:32	04:38:38	04:38:38	04:38:38	04:38:38	04:38:38	04:38:38			04:38:39	04:38:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
4	04:38:39	04:38:39	04:38:39	04:38:39	04:38:39	04:38:39			04:38:39	04:38:39	04:38:39	04:38:39	04:38:47	04:38:47	04:38:47	04:38:47	04:38:47	04:38:47			04:38:47	04:38:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
5	04:38:48	04:38:48	04:38:48	04:38:48	04:38:48	04:38:48			04:38:48	04:38:48	04:38:48	04:38:48	04:38:56	04:38:56	04:38:56	04:38:56	04:38:56	04:38:56			04:38:57	04:38:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
6	04:38:57	04:38:57	04:38:57	04:38:57	04:38:57	04:38:57			04:38:57	04:38:57	04:38:57	04:38:57	04:39:05	04:39:05	04:39:05	04:39:05	04:39:05	04:39:05			04:39:05	04:39:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:08
7	04:39:06	04:39:06	04:39:06	04:39:06	04:39:06	04:39:06			04:39:06	04:39:06	04:39:06	04:39:06	04:39:13	04:39:13	04:39:13	04:39:13	04:39:13	04:39:13			04:39:13	04:39:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
8	04:39:13	04:39:13	04:39:13	04:39:13	04:39:13	04:39:13			04:39:13	04:39:13	04:39:13	04:39:13	04:39:20	04:39:20	04:39:20	04:39:20	04:39:20	04:39:20			04:39:21	04:39:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
9	04:39:21	04:39:21	04:39:21	04:39:21	04:39:21	04:39:21			04:39:21	04:39:21	04:39:21	04:39:21	04:39:28	04:39:28	04:39:28	04:39:28	04:39:28	04:39:28			04:39:29	04:39:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
