Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:17:28	04:17:28	04:17:29			04:17:29	04:17:29	04:17:29	04:17:30	04:17:30	04:17:30	04:17:30	04:17:43	04:17:43	04:17:44	04:17:44	04:17:44	04:17:44			04:17:47	04:17:47		00:00:00		00:00:00	00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:03	00:00:18
1	04:17:48	04:17:48	04:17:48	04:17:48	04:17:48	04:17:48	04:17:48	04:17:49	04:17:49	04:17:49	04:17:49	04:17:49	04:17:58	04:17:58	04:17:58	04:17:58	04:17:58	04:17:58			04:18:00	04:18:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:02	00:00:12
2	04:18:01	04:18:01	04:18:01	04:18:01	04:18:01	04:18:01			04:18:01	04:18:01	04:18:01	04:18:01	04:18:10	04:18:10	04:18:10	04:18:10	04:18:10	04:18:10			04:18:11	04:18:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:09
3	04:18:11	04:18:11	04:18:11	04:18:11	04:18:11	04:18:11			04:18:11	04:18:11	04:18:11	04:18:11	04:18:20	04:18:20	04:18:20	04:18:20	04:18:20	04:18:20			04:18:21	04:18:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:09
4	04:18:21	04:18:21	04:18:21	04:18:21	04:18:21	04:18:21			04:18:21	04:18:21	04:18:21	04:18:21	04:18:29	04:18:29	04:18:29	04:18:29	04:18:29	04:18:29			04:18:30	04:18:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
5	04:18:30	04:18:30	04:18:30	04:18:30	04:18:30	04:18:30			04:18:30	04:18:30	04:18:30	04:18:30	04:18:38	04:18:38	04:18:38	04:18:38	04:18:38	04:18:38			04:18:39	04:18:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:08
6	04:18:39	04:18:39	04:18:39	04:18:39	04:18:39	04:18:39			04:18:40	04:18:40	04:18:40	04:18:40	04:18:48	04:18:48	04:18:48	04:18:48	04:18:48	04:18:48			04:18:49	04:18:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
7	04:18:49	04:18:49	04:18:49	04:18:49	04:18:49	04:18:49			04:18:49	04:18:49	04:18:49	04:18:49	04:18:57	04:18:57	04:18:57	04:18:57	04:18:57	04:18:57			04:18:57	04:18:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
8	04:18:58	04:18:58	04:18:58	04:18:58	04:18:58	04:18:58			04:18:58	04:18:58	04:18:58	04:18:58	04:19:05	04:19:05	04:19:05	04:19:05	04:19:05	04:19:05			04:19:06	04:19:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
9	04:19:06	04:19:06	04:19:06	04:19:06	04:19:06	04:19:06			04:19:06	04:19:06	04:19:06	04:19:06	04:19:14	04:19:14	04:19:14	04:19:14	04:19:14	04:19:14			04:19:15	04:19:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
10	04:19:15	04:19:15	04:19:15	04:19:15	04:19:15	04:19:15	04:19:15	04:19:15	04:19:15	04:19:15	04:19:15	04:19:15	04:19:24	04:19:24	04:19:24	04:19:24	04:19:24	04:19:24	04:19:24	04:19:24	04:19:25	04:19:25		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08	00:00:00	00:00:00	00:00:00	00:00:01	00:00:10
11	04:19:25	04:19:25	04:19:25	04:19:25	04:19:26	04:19:26			04:19:26	04:19:26	04:19:26	04:19:26	04:19:35	04:19:35	04:19:35	04:19:35	04:19:35	04:19:35			04:19:36	04:19:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
12	04:19:36	04:19:36	04:19:36	04:19:36	04:19:36	04:19:36			04:19:36	04:19:36	04:19:36	04:19:36	04:19:45	04:19:45	04:19:45	04:19:45	04:19:45	04:19:45			04:19:46	04:19:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
13	04:19:46	04:19:46	04:19:46	04:19:46	04:19:46	04:19:46			04:19:46	04:19:46	04:19:46	04:19:46	04:19:55	04:19:55	04:19:55	04:19:55	04:19:55	04:19:55			04:19:56	04:19:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
14	04:19:56	04:19:56	04:19:56	04:19:56	04:19:56	04:19:56			04:19:56	04:19:56	04:19:56	04:19:56	04:20:04	04:20:04	04:20:04	04:20:04	04:20:04	04:20:04			04:20:05	04:20:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:08
15	04:20:05	04:20:05	04:20:05	04:20:05	04:20:05	04:20:05			04:20:05	04:20:05	04:20:05	04:20:05	04:20:14	04:20:14	04:20:14	04:20:14	04:20:14	04:20:14			04:20:15	04:20:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
16	04:20:15	04:20:15	04:20:15	04:20:15	04:20:15	04:20:15			04:20:15	04:20:15	04:20:15	04:20:15	04:20:23	04:20:23	04:20:24	04:20:24	04:20:24	04:20:24			04:20:24	04:20:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
17	04:20:25	04:20:25	04:20:25	04:20:25	04:20:25	04:20:25			04:20:25	04:20:25	04:20:25	04:20:25	04:20:32	04:20:32	04:20:32	04:20:32	04:20:32	04:20:32			04:20:33	04:20:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
18	04:20:34	04:20:34	04:20:34	04:20:34	04:20:34	04:20:34			04:20:34	04:20:34	04:20:34	04:20:34	04:20:42	04:20:42	04:20:42	04:20:42	04:20:42	04:20:42			04:20:43	04:20:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:09
19	04:20:43	04:20:43	04:20:43	04:20:43	04:20:43	04:20:43			04:20:43	04:20:43	04:20:43	04:20:43	04:20:51	04:20:51	04:20:51	04:20:51	04:20:51	04:20:51			04:20:51	04:20:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
20	04:20:51	04:20:51	04:20:51	04:20:51	04:20:51	04:20:51	04:20:51	04:20:52	04:20:52	04:20:52	04:20:52	04:20:52	04:21:00	04:21:00	04:21:00	04:21:00	04:21:00	04:21:00	04:21:00	04:21:00	04:21:01	04:21:01		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09
